,uid,title,genre,aired,episodes,members,popularity,ranked,score
0,28891,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25.0,489888,141,25.0,8.82
1,23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22.0,995473,28,24.0,8.83
2,34599,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13.0,581663,98,23.0,8.83
3,5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64.0,1615084,4,1.0,9.23
5,37510,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13.0,442310,176,21.0,8.89
7,38000,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26.0,575037,106,19.0,8.92
8,35247,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7.0,189944,573,18.0,8.93
9,2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25.0,992196,27,17.0,8.93
10,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10.0,395375,223,16.0,8.94
11,34096,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12.0,139309,800,15.0,8.94
14,4181,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24.0,740101,64,12.0,8.97
