,profile,gender,favorites,link,birth_year
0,DesolatePsyche,Male,"['33352', '25013', '5530', '33674', '1482', '269', '18245', '2904', '27899', '17074', '12291', '226', '28851', '8525', '6594', '4981', '1698', '457', '235', '34618']",https://myanimelist.net/profile/DesolatePsyche,1994
1,baekbeans,Female,"['11061', '31964', '853', '20583', '918', '9253', '34599', '3588', '13601', '6956']",https://myanimelist.net/profile/baekbeans,2000
2,aManOfCulture99,Male,"['4181', '7791', '9617', '5680', '2167', '4382', '849', '235', '35180', '31646']",https://myanimelist.net/profile/aManOfCulture99,1999
3,NIGGER_BONER,Male,"['11061', '30', '6594', '28701', '10087', '6746', '918', '1535', '24415', '5081']",https://myanimelist.net/profile/NIGGER_BONER,1985
4,jchang,Male,"['846', '2904', '5114', '2924', '72']",https://myanimelist.net/profile/jchang,1992
5,angelsreview,Female,"['534', '71', '7724', '861', '5060', '853']",https://myanimelist.net/profile/angelsreview,1989
6,CalebTheMenace,Male,"['4181', '11617', '1735', '35849', '28999', '29803', '31964', '36098', '5081', '8525']",https://myanimelist.net/profile/CalebTheMenace,2004
7,Eanki,Male,"['27989', '28851', '17265', '15227', '35557', '24', '5420', '4224', '23289', '31859']",https://myanimelist.net/profile/Eanki,1995
8,NekoKyupi,Male,"['34599', '4181', '9756', '32949', '30654', '28851']",https://myanimelist.net/profile/NekoKyupi,2001
9,OVERPOWERED99,Male,"['5680', '15051', '31953', '31964', '16498', '6213', '21647', '3455', '12189', '18679']",https://myanimelist.net/profile/OVERPOWERED99,2000
10,JoJo_Stalin,Male,"['1050', '227', '1921', '1029', '18679']",https://myanimelist.net/profile/JoJo_Stalin,2000
11,Kaishuu,Male,"['27899', '1535', '2167', '22319']",https://myanimelist.net/profile/Kaishuu,1999
12,Leyvon,Male,"['1735', '1575', '226', '1535', '2167']",https://myanimelist.net/profile/Leyvon,1990
13,GinKagu,Female,"['918', '2904', '4181', '9989']",https://myanimelist.net/profile/GinKagu,2012
14,Itaku,Male,['10049'],https://myanimelist.net/profile/Itaku,1993
15,Lucryllin,Male,"['177', '861', '66', '2167', '4181']",https://myanimelist.net/profile/Lucryllin,1987
16,ggultra2764,Male,"['512', '7193', '165', '440', '634']",https://myanimelist.net/profile/ggultra2764,1985
17,0Seru0,Male,"['7661', '582', '33', '2904', '1425', '1453', '1608', '22687', '21', '1470']",https://myanimelist.net/profile/0Seru0,1990
18,BowlingJD,Male,"['21', '235', '19', '302', '90', '474', '1453']",https://myanimelist.net/profile/BowlingJD,1988
19,greatyu,Female,"['20', '21', '918', '11061', '934', '13125']",https://myanimelist.net/profile/greatyu,1993
20,Slushpuppy282,Female,"['407', '3588', '177', '1604', '269']",https://myanimelist.net/profile/Slushpuppy282,1990
21,mattpointon77,Male,"['59', '205', '513', '1029', '1279', '7465', '6802', '34537', '7785', '7588']",https://myanimelist.net/profile/mattpointon77,1977
22,Abeyant,Male,"['35839', '457', '7785', '35079', '34599', '5114', '22789', '13125', '12355', '9253']",https://myanimelist.net/profile/Abeyant,2000
23,HybridMedia,Male,"['1016', '1292', '205', '47', '1']",https://myanimelist.net/profile/HybridMedia,1990
24,eyerok,Male,"['820', '457', '205', '467', '1', '22135', '1030', '601', '283', '44']",https://myanimelist.net/profile/eyerok,1987
25,tinypinkghostie,Female,"['23289', '1412', '11843', '32281', '35062']",https://myanimelist.net/profile/tinypinkghostie,1983
26,BabyGirl06301,Female,"['20', '18507', '18689', '20583', '11771', '31964', '20507', '5114', '10800', '28171']",https://myanimelist.net/profile/BabyGirl06301,1997
27,Eoussama,Male,"['37510', '4181', '21', '2035']",https://myanimelist.net/profile/Eoussama,1998
28,ParaParaJMo,Male,"['1362', '263', '81', '2402', '85', '37991']",https://myanimelist.net/profile/ParaParaJMo,1984
29,Eneko-chan,Female,"['2164', '153', '584', '60', '182']",https://myanimelist.net/profile/Eneko-chan,1989
30,Lima-Sama,Male,"['21', '223', '20', '11061']",https://myanimelist.net/profile/Lima-Sama,1965
31,Algirdyz,Male,"['820', '26', '457', '32', '875']",https://myanimelist.net/profile/Algirdyz,1992
32,Baconzombie,Male,"['3297', '820', '19', '387', '1827', '457', '2251', '467', '5114', '329']",https://myanimelist.net/profile/Baconzombie,1995
33,skankfish,Male,[],https://myanimelist.net/profile/skankfish,1984
34,AlexJetski,Male,"['14719', '820', '7785', '26', '10721', '9996', '31646', '10087', '3002', '2559']",https://myanimelist.net/profile/AlexJetski,2000
35,steampunkvillain,Male,"['9253', '7588', '790']",https://myanimelist.net/profile/steampunkvillain,1990
36,BienAgiter,Male,"['2904', '4181', '5114', '3784', '6594']",https://myanimelist.net/profile/BienAgiter,1991
37,bleeb,Female,"['431', '114', '1205', '3326']",https://myanimelist.net/profile/bleeb,1990
38,Seabury,Male,"['30', '440', '199', '514', '572', '34522']",https://myanimelist.net/profile/Seabury,1988
39,Jodyqt,Male,"['2828', '2402', '801', '795', '2623', '820', '2257', '283', '2001', '10721']",https://myanimelist.net/profile/Jodyqt,1991
40,Lindle,Non-Binary,"['820', '7785', '1', '22135', '43', '585', '7588', '25835', '2921', '32']",https://myanimelist.net/profile/Lindle,1991
41,ZephSilver,Male,"['790', '285', '570', '1299', '239', '457', '801', '1025', '543', '885', '820', '19', '634', '949', '205', '7588', '455', '877', '1029', '283']",https://myanimelist.net/profile/ZephSilver,1993
42,Mimi_Taylor,Female,"['12029', '820', '2158', '455', '97', '584', '5074', '19', '523', '2154']",https://myanimelist.net/profile/Mimi_Taylor,1988
43,InsaneMooseCat,Male,"['11617', '13759', '12467', '4744', '857']",https://myanimelist.net/profile/InsaneMooseCat,1998
44,theillusionary,Male,"['1530', '4181', '2167']",https://myanimelist.net/profile/theillusionary,1996
45,Jakerams,Male,"['193', '7674', '5941', '34822', '3455', '10800', '3731', '12531', '16067', '10460', '24405', '2129', '125', '34934', '1555', '355', '237', '257', '6114', '31710']",https://myanimelist.net/profile/Jakerams,1994
46,showandAG,Male,"['5114', '205', '245', '1575', '4181', '16498', '889', '813', '33', '1530']",https://myanimelist.net/profile/showandAG,1996
47,xScHeiZe,Female,"['4181', '9253', '30276', '34599', '37779']",https://myanimelist.net/profile/xScHeiZe,1993
48,ChildHatchling,Male,"['9213', '2787', '355', '8407']",https://myanimelist.net/profile/ChildHatchling,1996
49,Vedan,Male,"['813', '31051', '28907', '13759', '11771', '2167', '30694', '12413']",https://myanimelist.net/profile/Vedan,1998
50,LoveArrowShooto,Male,"['4181', '7791', '15051', '30296', '21327', '25519', '14289', '1530', '13655', '28171']",https://myanimelist.net/profile/LoveArrowShooto,1996
51,For_Reign,Male,"['249', '20507', '2966', '7724', '10372', '813', '31964', '22297', '10087']",https://myanimelist.net/profile/For_Reign,1988
52,vanmarckestevy,Male,"['26', '457', '43', '339', '227', '16664']",https://myanimelist.net/profile/vanmarckestevy,1982
53,BTDee,Female,"['23755', '16067', '16498', '34572', '8074', '39533', '35790', '18115', '11665']",https://myanimelist.net/profile/BTDee,1996
54,Fire,Male,"['7674', '21185', '14075', '9253', '31043', '21995', '32729', '2034', '38524', '27775']",https://myanimelist.net/profile/Fire,2000
55,jc9622,Male,"['7311', '28851', '11981', '9253', '37786', '35180', '39198', '31240', '23847', '21327', '35839', '17074', '36296', '4725', '28907', '33486']",https://myanimelist.net/profile/jc9622,2020
56,Dcm18,Male,"['30', '813', '268', '1', '5114']",https://myanimelist.net/profile/Dcm18,1991
57,ktulu007,Male,[],https://myanimelist.net/profile/ktulu007,1986
58,Firechick12012,Female,"['1557', '6211', '4081', '2623', '604', '1695', '387', '338', '2199']",https://myanimelist.net/profile/Firechick12012,1993
59,88expert,Male,"['721', '2559', '23273', '32483', '1826', '35222', '33314', '32951', '32673']",https://myanimelist.net/profile/88expert,1997
60,Darynlxm,Male,"['6547', '853', '849']",https://myanimelist.net/profile/Darynlxm,1986
61,PokeFan2112,Male,"['527', '249', '1122', '1120', '1117', '1118', '528', '6811', '740', '530']",https://myanimelist.net/profile/PokeFan2112,2001
62,Marii-nyan,Female,"['5680', '7791', '10620', '22199', '6547', '10495', '6045', '4181']",https://myanimelist.net/profile/Marii-nyan,1998
63,Falco2424,Male,"['32', '19', '145', '339', '820', '26', '1', '31757', '1575', '44']",https://myanimelist.net/profile/Falco2424,1994
64,Crack-san,Male,"['1575', '23283', '16742', '10165', '9253', '7791', '14075', '9756', '12189', '6746']",https://myanimelist.net/profile/Crack-san,1998
65,jmsxjrdn,Male,"['7674', '11061', '35062', '9253', '34561', '3167', '22535', '21', '28223', '35557']",https://myanimelist.net/profile/jmsxjrdn,1987
66,Otaku1985,Male,"['10165', '19', '5081', '9253', '12355', '323', '164', '820', '43', '1689']",https://myanimelist.net/profile/Otaku1985,1985
67,Pavuss,Female,[],https://myanimelist.net/profile/Pavuss,1999
68,PixlReality,Male,"['13601', '23273', '457', '16067', '9253', '7791', '31043', '18679', '7724', '4224']",https://myanimelist.net/profile/PixlReality,1998
69,nonameacquired,Male,"['32281', '32', '339', '30', '33489']",https://myanimelist.net/profile/nonameacquired,2003
70,DanevsAnime,Male,"['21647', '9289', '6802', '2963', '855', '9756', '2013', '5680', '31376']",https://myanimelist.net/profile/DanevsAnime,1996
71,Zeroark,Male,"['2476', '19369', '5909', '2167', '8861']",https://myanimelist.net/profile/Zeroark,1989
72,Rizkiawan-kun,Male,"['3297', '9253', '4181', '9969', '1889', '5114', '13125', '35180', '35839', '5420']",https://myanimelist.net/profile/Rizkiawan-kun,1999
73,palmeister21,Male,"['12549', '2904', '1575']",https://myanimelist.net/profile/palmeister21,1995
74,Ali_19,Male,"['4181', '1575', '18897', '1535', '21', '269', '23273', '16498', '23847', '31240']",https://myanimelist.net/profile/Ali_19,1998
75,iEmnesty,Male,"['7791', '5341', '226', '9989', '5630']",https://myanimelist.net/profile/iEmnesty,1997
76,Treima,Male,"['9756', '10087', '19815', '5114', '32281', '13601', '10165', '9253', '11061', '30']",https://myanimelist.net/profile/Treima,1989
77,ShelbyWAO,Female,['5680'],https://myanimelist.net/profile/ShelbyWAO,2000
78,usaking,Male,"['7311', '4181', '3297', '339', '457', '1530', '199', '33352', '164', '10165', '26', '24', '578', '4981', '6547', '35838', '35180', '14741', '34599', '1887']",https://myanimelist.net/profile/usaking,1991
79,firebug,Male,"['5680', '66']",https://myanimelist.net/profile/firebug,1982
80,gunny1993,Male,"['6547', '5680']",https://myanimelist.net/profile/gunny1993,1993
81,worldsend007,Female,"['1', '210', '249', '440', '6811']",https://myanimelist.net/profile/worldsend007,1990
82,Bsum,Male,"['31043', '7791', '9253', '22535', '20', '16498']",https://myanimelist.net/profile/Bsum,1998
83,dragafire,Male,"['21', '57', '205', '237', '267']",https://myanimelist.net/profile/dragafire,1990
84,Monikon,Female,"['5958', '5680']",https://myanimelist.net/profile/Monikon,2003
85,Howwl,Female,[],https://myanimelist.net/profile/Howwl,1996
86,DustPotato,Male,"['19815', '10456', '12487', '2904', '11757', '10568', '15039', '2167']",https://myanimelist.net/profile/DustPotato,1994
87,Phoenix_Trite,Male,"['7791', '527', '18195', '14511', '23327', '2001', '5341', '30279', '1519', '28171']",https://myanimelist.net/profile/Phoenix_Trite,1996
